temperature,humidity,label
21.5,60,Dingin
21.5,62,Dingin
21.6,58,Dingin
21.6,65,Dingin
21.7,61,Dingin
21.7,63,Dingin
21.8,59,Dingin
21.8,64,Dingin
21.9,60,Dingin
21.9,62,Dingin
22.0,66,Dingin
22.0,58,Dingin
22.1,61,Dingin
22.1,63,Dingin
22.2,65,Dingin
22.2,59,Dingin
22.3,67,Dingin
22.3,60,Dingin
22.4,62,Dingin
22.4,64,Dingin
22.5,58,Dingin
22.5,66,Dingin
22.6,61,Dingin
22.6,63,Dingin
22.7,60,Dingin
22.7,65,Dingin
22.8,59,Dingin
22.8,62,Dingin
22.9,64,Dingin
22.9,61,Dingin
23.0,67,Dingin
23.0,60,Dingin
23.1,63,Dingin
23.1,65,Dingin
23.2,58,Dingin
23.2,62,Dingin
23.3,66,Dingin
23.3,61,Dingin
23.4,64,Dingin
23.4,59,Dingin
23.5,63,Dingin
23.5,60,Dingin
23.6,65,Dingin
23.6,62,Dingin
23.7,67,Dingin
23.7,58,Dingin
23.8,61,Dingin
23.8,64,Dingin
23.9,66,Dingin
23.9,60,Dingin
24.0,60,Ideal
24.0,62,Ideal
24.0,64,Ideal
24.0,58,Ideal
24.0,66,Ideal
24.1,61,Ideal
24.1,63,Ideal
24.1,65,Ideal
24.1,59,Ideal
24.2,62,Ideal
24.2,60,Ideal
24.2,67,Ideal
24.2,64,Ideal
24.3,58,Ideal
24.3,61,Ideal
24.3,63,Ideal
24.3,66,Ideal
24.4,60,Ideal
24.4,62,Ideal
24.4,65,Ideal
24.4,59,Ideal
24.4,64,Ideal
24.5,61,Ideal
24.5,63,Ideal
24.5,67,Ideal
24.5,60,Ideal
24.6,62,Ideal
24.6,65,Ideal
24.6,58,Ideal
24.6,64,Ideal
24.7,61,Ideal
24.7,63,Ideal
24.7,66,Ideal
24.7,59,Ideal
24.8,62,Ideal
24.8,60,Ideal
24.8,65,Ideal
24.8,67,Ideal
24.9,63,Ideal
24.9,58,Ideal
24.9,61,Ideal
24.9,64,Ideal
25.0,60,Ideal
25.0,62,Ideal
25.0,65,Ideal
25.0,59,Ideal
25.0,66,Ideal
25.1,60,Panas
25.1,63,Panas
25.1,65,Panas
25.2,61,Panas
25.2,58,Panas
25.2,64,Panas
25.3,62,Panas
25.3,66,Panas
25.3,59,Panas
25.4,63,Panas
25.4,60,Panas
25.4,67,Panas
25.5,61,Panas
25.5,65,Panas
25.5,58,Panas
25.6,62,Panas
25.6,64,Panas
25.6,60,Panas
25.7,63,Panas
25.7,66,Panas
25.7,59,Panas
25.8,61,Panas
25.8,65,Panas
25.8,62,Panas
25.9,64,Panas
25.9,60,Panas
25.9,67,Panas
26.0,58,Panas
26.0,63,Panas
26.1,65,Panas
26.2,61,Panas
26.3,64,Panas
26.4,60,Panas
26.5,62,Panas
26.5,66,Panas
26.6,59,Panas
26.6,63,Panas
26.7,61,Panas
26.7,65,Panas
26.8,60,Panas
26.8,64,Panas
26.9,62,Panas
27.0,66,Panas
27.0,58,Panas
27.1,61,Panas
27.2,63,Panas
27.3,65,Panas
27.4,60,Panas
27.5,65,Panas
27.6,61,Panas
27.8,64,Panas
27.9,60,Panas
28.0,61,Panas
