temperature,humidity,label
28.0,60,Dingin
28.0,62,Dingin
28.1,65,Dingin
28.1,59,Dingin
28.2,63,Dingin
28.2,61,Dingin
28.3,64,Dingin
28.3,58,Dingin
28.4,66,Dingin
28.4,60,Dingin
28.5,62,Dingin
28.5,67,Dingin
28.6,59,Dingin
28.6,61,Dingin
28.7,65,Dingin
28.7,63,Dingin
28.8,58,Dingin
28.8,60,Dingin
28.9,64,Dingin
28.9,62,Dingin
29.0,66,Dingin
29.0,59,Dingin
29.0,61,Dingin
29.1,63,Dingin
29.1,65,Dingin
29.1,60,Dingin
29.2,67,Dingin
29.2,58,Dingin
29.2,62,Dingin
29.3,64,Dingin
29.3,61,Dingin
29.3,59,Dingin
29.4,65,Dingin
29.4,63,Dingin
29.4,60,Dingin
29.5,66,Dingin
29.5,62,Dingin
29.5,58,Dingin
29.6,64,Dingin
29.6,61,Dingin
29.6,67,Dingin
29.7,60,Dingin
29.7,63,Dingin
29.7,65,Dingin
29.8,59,Dingin
29.8,62,Dingin
29.8,64,Dingin
29.9,61,Dingin
29.9,66,Dingin
29.9,63,Dingin
30.0,60,Ideal
30.0,62,Ideal
30.0,65,Ideal
30.0,58,Ideal
30.0,63,Ideal
30.1,61,Ideal
30.1,64,Ideal
30.1,66,Ideal
30.1,59,Ideal
30.2,62,Ideal
30.2,60,Ideal
30.2,67,Ideal
30.2,63,Ideal
30.2,65,Ideal
30.3,58,Ideal
30.3,61,Ideal
30.3,64,Ideal
30.3,66,Ideal
30.4,60,Ideal
30.4,62,Ideal
30.4,65,Ideal
30.4,59,Ideal
30.4,63,Ideal
30.5,61,Ideal
30.5,64,Ideal
30.5,67,Ideal
30.5,62,Ideal
30.6,60,Ideal
30.6,65,Ideal
30.6,58,Ideal
30.6,63,Ideal
30.6,66,Ideal
30.7,61,Ideal
30.7,64,Ideal
30.7,59,Ideal
30.7,62,Ideal
30.8,65,Ideal
30.8,60,Ideal
30.8,67,Ideal
30.8,63,Ideal
30.8,58,Ideal
30.9,61,Ideal
30.9,64,Ideal
30.9,66,Ideal
30.9,62,Ideal
31.0,60,Ideal
31.0,63,Ideal
31.0,65,Ideal
31.0,59,Ideal
31.0,64,Ideal
31.1,61,Panas
31.1,66,Panas
31.1,62,Panas
31.2,58,Panas
31.2,63,Panas
31.2,65,Panas
31.3,60,Panas
31.3,67,Panas
31.3,64,Panas
31.4,59,Panas
31.4,62,Panas
31.4,61,Panas
31.5,66,Panas
31.5,63,Panas
31.5,58,Panas
31.6,65,Panas
31.6,60,Panas
31.6,64,Panas
31.7,61,Panas
31.7,59,Panas
31.7,67,Panas
31.8,62,Panas
31.8,66,Panas
31.8,63,Panas
31.9,60,Panas
31.9,58,Panas
31.9,65,Panas
32.0,61,Panas
32.0,64,Panas
32.0,62,Panas
32.1,66,Panas
32.1,59,Panas
32.2,63,Panas
32.2,67,Panas
32.3,60,Panas
32.3,65,Panas
32.4,58,Panas
32.4,61,Panas
32.5,64,Panas
32.5,62,Panas
32.6,66,Panas
32.6,59,Panas
32.7,63,Panas
32.7,60,Panas
32.8,65,Panas
32.8,61,Panas
32.9,67,Panas
32.9,64,Panas
33.0,58,Panas
33.0,62,Panas
