temperature,humidity,label
22.5,60,Dingin
22.6,62,Dingin
22.7,58,Dingin
22.8,65,Dingin
22.9,61,Dingin
23.0,63,Dingin
23.1,59,Dingin
23.2,64,Dingin
23.2,60,Dingin
23.3,62,Dingin
23.3,66,Dingin
23.4,58,Dingin
23.4,61,Dingin
23.5,63,Dingin
23.5,65,Dingin
23.6,59,Dingin
23.6,67,Dingin
23.7,60,Dingin
23.7,62,Dingin
23.8,64,Dingin
23.8,58,Dingin
23.9,66,Dingin
23.9,61,Dingin
24.0,63,Dingin
24.0,60,Dingin
24.1,65,Dingin
24.1,59,Dingin
24.2,62,Dingin
24.2,64,Dingin
24.3,61,Dingin
24.3,67,Dingin
24.4,60,Dingin
24.4,63,Dingin
24.5,65,Dingin
24.5,58,Dingin
24.6,62,Dingin
24.6,66,Dingin
24.7,61,Dingin
24.7,64,Dingin
24.7,59,Dingin
24.8,63,Dingin
24.8,60,Dingin
24.8,65,Dingin
24.9,62,Dingin
24.9,67,Dingin
24.9,58,Dingin
24.9,61,Dingin
24.9,64,Dingin
24.9,66,Dingin
24.9,60,Dingin
25.0,60,Ideal
25.0,62,Ideal
25.0,64,Ideal
25.0,58,Ideal
25.0,66,Ideal
25.1,61,Ideal
25.1,63,Ideal
25.1,65,Ideal
25.2,59,Ideal
25.2,62,Ideal
25.2,60,Ideal
25.3,67,Ideal
25.3,64,Ideal
25.3,58,Ideal
25.4,61,Ideal
25.4,63,Ideal
25.4,66,Ideal
25.5,60,Ideal
25.5,62,Ideal
25.5,65,Ideal
25.6,59,Ideal
25.6,64,Ideal
25.6,61,Ideal
25.7,63,Ideal
25.7,67,Ideal
25.7,60,Ideal
25.8,62,Ideal
25.8,65,Ideal
25.8,58,Ideal
25.9,64,Ideal
25.9,61,Ideal
25.9,63,Ideal
26.0,66,Ideal
26.0,59,Ideal
26.1,62,Ideal
26.1,60,Ideal
26.2,65,Ideal
26.2,67,Ideal
26.3,63,Ideal
26.3,58,Ideal
26.4,61,Ideal
26.4,64,Ideal
26.5,60,Ideal
26.6,62,Ideal
26.7,65,Ideal
26.8,59,Ideal
26.9,66,Ideal
27.0,60,Ideal
27.0,63,Ideal
27.0,65,Ideal
27.1,61,Panas
27.1,58,Panas
27.1,64,Panas
27.2,62,Panas
27.2,66,Panas
27.2,59,Panas
27.3,63,Panas
27.3,60,Panas
27.3,67,Panas
27.4,61,Panas
27.4,65,Panas
27.4,58,Panas
27.5,62,Panas
27.5,64,Panas
27.5,60,Panas
27.6,63,Panas
27.6,66,Panas
27.6,59,Panas
27.7,61,Panas
27.7,65,Panas
27.7,62,Panas
27.8,64,Panas
27.8,60,Panas
27.8,67,Panas
27.9,58,Panas
27.9,63,Panas
28.0,65,Panas
28.1,61,Panas
28.2,64,Panas
28.3,60,Panas
28.4,62,Panas
28.5,66,Panas
28.6,59,Panas
28.7,63,Panas
28.8,61,Panas
28.9,65,Panas
29.0,60,Panas
29.1,64,Panas
29.2,62,Panas
29.3,66,Panas
29.4,58,Panas
29.5,61,Panas
29.6,63,Panas
29.7,65,Panas
29.8,60,Panas
30.0,62,Panas
30.2,61,Panas
30.4,62,Panas
30.5,64,Panas
30.7,65,Panas
