timestamp,gas_detected,duration_ms,label
2025-12-07 13:24:35,True,16294,Bahaya
2025-12-07 13:24:37,True,18308,Bahaya
2025-12-07 13:24:39,True,20309,Bahaya
2025-12-07 13:24:41,True,22323,Bahaya
2025-12-07 13:24:43,True,24349,Bahaya
2025-12-07 13:24:45,True,26357,Bahaya
2025-12-07 13:24:47,True,28358,Bahaya
2025-12-07 13:24:49,True,30383,Bahaya
2025-12-07 13:24:51,True,32388,Bahaya
2025-12-07 13:24:53,True,34370,Bahaya
2025-12-07 13:24:55,True,36480,Bahaya
2025-12-07 13:24:57,True,38489,Bahaya
2025-12-07 13:24:59,True,40476,Bahaya
2025-12-07 13:25:01,False,0,Aman
2025-12-07 13:25:04,False,0,Aman
2025-12-07 13:25:06,False,0,Aman
2025-12-07 13:25:08,False,0,Aman
2025-12-07 13:25:10,False,0,Aman
2025-12-07 13:25:12,False,0,Aman
2025-12-07 13:25:14,False,0,Aman
2025-12-07 13:25:16,False,0,Aman
2025-12-07 13:25:18,False,0,Aman
2025-12-07 13:25:20,False,0,Aman
2025-12-07 13:25:22,False,0,Aman
2025-12-07 13:25:24,False,0,Aman
2025-12-07 13:25:26,False,0,Aman
2025-12-07 13:25:28,False,0,Aman
2025-12-07 13:25:30,False,0,Aman
2025-12-07 13:25:32,False,0,Aman
2025-12-07 13:25:34,False,0,Aman
2025-12-07 13:25:36,False,0,Aman
2025-12-07 13:25:38,False,0,Aman
2025-12-07 13:25:40,False,0,Aman
2025-12-07 13:25:42,False,0,Aman
2025-12-07 13:25:44,False,0,Aman
2025-12-07 13:25:46,False,0,Aman
2025-12-07 13:25:48,False,0,Aman
2025-12-07 13:25:50,False,0,Aman
2025-12-07 13:25:52,False,0,Aman
2025-12-07 13:25:54,True,327,Aman
2025-12-07 13:25:56,True,2471,Waspada
2025-12-07 13:25:58,True,4516,Bahaya
2025-12-07 13:26:00,True,6534,Bahaya
2025-12-07 13:26:02,True,8615,Bahaya
2025-12-07 13:26:04,True,10669,Bahaya
